	N1_1	N2_1	N3_1	N4_1	N5_1	N7_1	N9_1	N11_1	N13_1	N14_1	N15_1	W1_1	W3_1	W5_1	W6_1	W7_1	W10_1	W11_1	W12_1	W14_1
New.ReferenceOTU25564	7	0	74	9	35	2	1	7	3	8	15	6	4	4	34	9	13	12	19	10
1116398	0	62	1	6	0	0	6	2	4	2	2	18	6	4	16	15	12	41	3	72
586558	1	0	2	20	6	15	21	24	12	25	36	0	0	0	2	6	1	8	21	71
4333746	2	0	6	2	14	4	2	2	2	1	0	4	4	61	8	51	4	24	33	47
New.ReferenceOTU25353	20	5	44	15	42	10	6	7	8	0	9	13	3	8	33	11	3	13	11	9
722441	0	1	1	26	0	0	1	2	1	0	2	0	0	1	139	92	0	2	1	0
4426763	88	60	8	11	3	11	14	2	11	4	0	16	11	9	3	1	6	6	2	0
New.ReferenceOTU35192	9	10	9	0	12	0	0	0	24	4	9	1	1	11	9	1	14	16	61	73
4043275	66	1	73	5	86	2	0	0	0	0	2	0	0	0	2	19	0	0	0	5
3480259	0	4	1	3	6	1	1	2	2	3	3	0	0	53	22	94	1	59	2	4
161616	3	23	3	4	2	16	7	9	16	5	14	19	4	2	22	1	47	9	34	17
628299	1	5	0	7	4	1	3	4	3	13	2	0	0	3	51	91	0	2	47	13
1127748	122	79	7	0	2	0	2	1	3	0	1	7	12	7	3	0	0	3	0	1
New.ReferenceOTU41364	54	1	79	1	99	0	0	0	0	0	0	0	0	1	12	2	0	0	1	0
20456	0	0	0	45	10	5	2	0	1	15	6	2	56	6	11	7	62	9	11	1
New.ReferenceOTU58571	0	0	0	13	2	9	27	19	6	18	17	3	7	15	0	62	0	9	3	39
4422794	20	2	9	2	2	0	5	3	87	1	5	1	12	2	23	63	4	2	2	3
290375	106	0	60	6	40	1	0	2	0	0	1	1	0	1	18	6	0	2	2	1
5784	0	0	0	5	0	9	6	5	3	6	7	0	3	15	15	110	5	15	22	21
New.ReferenceOTU4006	0	75	1	0	1	1	0	2	51	3	15	12	24	19	7	8	20	4	0	2
New.ReferenceOTU27747	0	1	8	10	5	6	10	6	6	0	7	8	79	50	1	4	18	14	5	3
4328104	15	15	7	5	1	2	5	2	7	0	8	2	41	5	53	13	16	4	9	30
4323373	0	3	0	2	1	1	0	1	0	13	3	0	1	3	81	87	0	2	31	11
2770481	1	0	1	4	0	11	15	18	29	22	24	4	5	8	54	5	3	9	16	8
1855596	3	6	3	4	3	12	7	8	38	6	28	6	4	7	10	2	11	11	32	35
New.ReferenceOTU54233	68	4	44	2	94	1	2	0	1	0	0	0	0	1	12	3	0	0	3	1
144640	1	12	2	12	2	22	29	10	12	6	6	19	34	8	11	1	20	9	11	8
141709	3	12	3	4	1	20	9	2	10	4	17	15	25	5	17	6	52	15	13	2
New.ReferenceOTU3971	3	0	8	9	8	9	11	8	12	6	10	4	5	12	18	11	14	8	51	27
256783	2	2	20	2	30	0	0	0	0	0	0	0	0	0	4	4	137	32	0	0
4400151	55	4	40	4	101	0	0	0	0	0	0	0	1	1	10	16	0	0	0	0
352838	7	20	17	10	1	5	3	3	3	9	17	6	22	15	15	3	16	15	33	10
306159	19	16	7	6	1	11	9	6	6	10	18	13	9	8	31	2	9	9	23	16
New.ReferenceOTU26857	22	41	16	55	15	9	4	6	8	2	0	6	1	2	8	2	0	2	12	16
161421	0	0	0	31	0	13	17	11	3	16	1	0	0	1	3	42	5	3	30	51
New.ReferenceOTU6161	28	15	23	5	32	10	5	5	4	0	5	1	3	3	56	0	15	3	10	4
New.ReferenceOTU17838	0	0	0	35	0	23	29	21	6	79	10	1	0	2	1	13	0	0	3	4
New.ReferenceOTU27145	6	1	10	11	50	2	0	0	0	0	1	6	1	0	49	77	6	3	2	0
267759	4	2	14	10	36	3	3	4	3	0	2	2	4	57	7	6	3	10	23	31
New.ReferenceOTU14311	0	0	0	41	0	30	28	41	28	40	12	1	0	0	1	1	0	0	1	0
New.ReferenceOTU52886	0	0	1	24	4	17	4	11	2	15	12	0	0	0	8	39	1	2	21	61
625652	0	1	1	10	2	12	6	10	4	27	20	0	1	6	6	7	0	3	78	28
1124268	3	5	3	14	1	24	16	10	19	1	11	28	17	10	8	0	20	16	9	6
New.ReferenceOTU31049	0	0	1	16	2	8	17	31	11	11	19	5	3	4	6	2	3	7	65	10
New.ReferenceOTU41960	14	5	86	1	18	0	0	0	3	4	11	1	1	0	19	6	3	4	29	16
New.ReferenceOTU13562	7	9	23	4	11	2	2	11	25	6	24	1	3	3	19	1	10	7	25	27
New.ReferenceOTU3578	26	0	104	11	38	1	1	0	0	1	4	2	2	0	11	11	1	1	2	4
New.ReferenceOTU27945	2	2	5	5	4	8	4	6	12	4	25	6	28	24	20	0	17	17	20	9
3704352	0	0	0	4	0	11	11	24	9	50	35	0	1	2	1	32	6	10	5	15
New.ReferenceOTU42061	4	0	4	5	20	5	1	7	0	2	2	0	1	11	10	46	1	10	31	55
New.ReferenceOTU27	0	0	0	0	0	0	0	0	0	2	2	0	0	0	7	179	0	5	3	17
New.ReferenceOTU7845	4	1	25	5	13	11	17	4	3	0	9	3	11	26	2	20	4	26	7	24
711023	43	46	21	6	75	1	0	0	1	1	0	0	0	0	1	3	0	1	0	15
New.ReferenceOTU56486	1	2	0	0	2	4	1	4	8	18	33	0	3	4	19	1	22	26	38	27
New.ReferenceOTU53739	0	158	12	3	1	2	1	0	1	1	1	3	3	1	2	3	11	6	0	4
4421341	22	2	19	3	3	2	0	2	8	3	5	3	7	1	46	62	5	13	6	1
4377842	32	42	28	5	3	5	3	2	5	1	2	7	26	1	36	6	4	1	0	3
4418260	4	78	6	38	1	5	17	3	7	2	4	8	9	3	14	1	7	0	0	4
234802	2	19	5	6	4	8	9	6	6	5	11	9	17	6	26	8	27	23	8	6
784002	5	15	3	5	10	8	0	0	0	1	1	0	0	1	35	12	9	34	15	55
New.ReferenceOTU30090	3	1	9	2	17	6	7	9	6	9	7	17	8	11	40	3	18	14	17	5
159711	4	2	29	19	0	1	18	4	40	51	2	0	7	4	4	15	0	2	1	5
847670	26	1	16	12	47	2	0	0	1	6	5	1	5	2	13	40	1	0	7	22
4417972	5	3	2	5	3	4	3	1	1	12	8	0	10	8	22	46	0	2	51	20
New.ReferenceOTU42209	0	0	2	32	3	7	6	10	4	13	9	1	1	0	9	27	2	1	33	46
704995	17	7	19	2	25	6	1	0	1	0	1	3	2	21	9	31	23	11	12	15
4474081	0	0	1	9	0	41	16	19	27	12	19	5	10	10	2	0	6	5	15	7
3259008	0	3	13	2	7	4	3	3	6	0	13	0	0	29	13	21	23	20	6	37
4376359	12	10	12	31	1	15	10	4	5	12	6	8	4	11	7	4	16	7	13	14
683891	12	4	29	0	14	3	5	3	4	0	2	1	5	37	2	21	0	15	13	32
236066	0	0	0	5	0	1	2	0	8	2	8	0	0	35	5	54	3	57	10	12
New.ReferenceOTU31361	4	2	11	6	8	15	4	12	6	4	11	10	8	6	28	11	17	14	15	9
4379869	10	10	19	8	14	0	1	4	19	2	16	4	0	4	30	5	16	16	10	11
38267	1	0	2	12	0	28	15	6	22	6	36	5	7	9	9	5	19	8	5	4
530377	24	55	13	18	3	3	3	6	14	0	3	5	5	5	9	4	3	4	7	15
New.ReferenceOTU57590	1	14	1	17	1	5	8	2	11	7	15	17	11	12	11	6	34	7	4	15
3050215	0	0	0	30	0	11	17	10	7	23	9	27	4	3	5	12	1	1	33	6
798621	0	4	3	25	4	13	18	13	10	17	11	33	15	2	4	10	1	7	6	3
583388	1	110	30	5	0	3	1	0	2	0	0	31	2	1	2	4	2	3	2	0
585904	0	5	1	3	1	1	0	3	29	6	7	1	6	39	6	1	17	15	40	17
650001	0	101	4	5	1	2	0	1	2	6	2	37	34	1	0	0	1	1	0	0
340558	1	1	11	3	15	7	1	7	13	6	12	8	10	7	31	10	14	20	14	7
213088	5	1	7	25	9	3	3	5	5	23	16	1	3	6	4	28	1	1	30	19
27188	5	0	7	3	16	4	5	7	0	4	10	1	1	52	2	18	6	18	12	24
242917	29	2	66	11	28	1	0	0	31	0	0	1	1	5	11	7	0	0	0	2
290241	46	1	46	5	53	0	2	0	1	1	0	0	3	2	14	14	0	1	1	4
79659	2	2	4	7	2	32	25	12	19	5	8	10	12	4	8	1	10	8	8	14
New.ReferenceOTU16837	5	0	20	7	22	6	5	3	5	4	4	1	1	3	35	5	23	15	21	8
4453710	2	31	4	13	1	8	8	4	24	4	8	6	5	6	13	4	13	2	16	19
4333705	9	0	20	1	1	0	9	2	18	14	1	0	5	22	10	20	38	2	4	15
317424	8	74	18	10	4	13	2	3	10	0	1	9	2	3	8	1	5	3	9	6
4423471	14	5	23	13	21	6	0	1	8	3	7	3	2	4	1	2	0	3	5	67
509575	2	2	7	13	1	20	18	16	13	7	24	10	2	4	23	8	0	2	9	7
New.ReferenceOTU25797	0	0	0	0	1	2	0	1	2	14	44	0	7	7	2	3	2	1	43	59
New.ReferenceOTU32524	11	3	24	8	39	14	3	3	4	0	2	7	3	1	36	18	6	4	1	0
New.ReferenceOTU49548	0	0	0	9	0	7	8	21	5	6	12	15	41	41	0	6	2	7	3	3
New.ReferenceOTU13906	0	0	0	48	0	24	22	33	16	28	14	0	0	0	0	0	0	0	0	0
4480061	5	0	2	2	1	3	0	1	0	0	0	4	5	48	10	24	0	22	30	28
790567	1	18	4	0	10	0	1	0	14	0	1	5	0	15	5	4	5	12	39	51
301226	38	1	45	17	64	0	4	0	0	0	0	0	0	2	6	6	0	1	0	0
4315164	2	7	3	15	5	21	12	8	17	6	10	6	0	4	18	3	1	4	28	14
1059509	0	1	0	22	0	7	5	5	11	3	5	6	5	22	12	20	8	18	1	32
4452118	7	77	5	16	2	10	6	7	12	1	2	12	3	5	4	1	4	2	4	2
4418677	6	71	12	8	1	12	15	6	6	4	3	7	2	0	9	0	4	5	5	6
New.ReferenceOTU57448	0	7	8	3	8	7	3	7	11	13	12	6	8	8	21	3	15	4	32	6
New.ReferenceOTU33299	0	0	0	6	0	12	26	56	11	52	9	1	0	0	0	6	0	0	1	1
New.ReferenceOTU6593	12	0	23	1	83	2	0	1	0	1	1	0	0	1	6	44	1	1	1	3
847094	34	0	97	3	13	2	0	0	1	2	2	2	3	0	1	18	0	1	0	1
1119755	0	1	1	11	0	24	16	22	35	2	13	7	9	0	5	0	14	5	10	4
New.ReferenceOTU2720	3	0	6	20	7	14	9	13	7	7	16	5	10	9	15	4	4	4	11	15
4253231	0	0	0	39	0	30	9	13	10	10	7	3	2	1	5	3	5	1	26	15
1141377	18	48	13	4	0	6	12	2	6	2	9	7	2	0	21	4	11	2	4	7
New.ReferenceOTU56800	13	1	48	5	59	1	0	0	0	2	3	3	1	1	19	15	0	2	2	3
328984	0	0	0	20	0	11	17	29	14	18	9	0	0	2	12	35	1	3	2	3
564581	63	2	48	8	26	2	0	0	1	2	2	1	0	3	6	10	0	0	1	1
640461	2	0	0	8	0	2	1	0	2	8	12	2	2	1	1	0	2	3	3	127
527762	49	33	49	3	17	2	1	0	0	0	4	0	0	0	11	5	0	1	0	1
New.ReferenceOTU48010	0	0	0	13	0	21	19	20	15	23	22	7	10	4	14	1	0	0	5	1
1054065	0	0	0	24	0	18	12	72	9	2	12	14	4	1	0	1	0	1	0	3
85393	0	0	0	5	0	9	1	1	5	13	6	56	8	7	0	0	1	1	59	1
New.ReferenceOTU24637	0	0	0	15	0	19	34	27	17	34	13	6	3	2	0	3	0	0	0	0
2255	0	1	1	1	0	1	1	1	4	17	6	1	5	2	12	21	44	14	40	1
2792168	1	7	5	2	3	7	2	12	13	2	12	11	16	12	22	3	16	9	11	6
228894	45	1	5	2	3	1	2	0	45	1	4	2	10	17	8	12	0	2	0	12
727056	4	3	13	6	19	3	4	1	3	6	15	0	1	8	20	8	10	16	24	7
3529365	0	0	0	3	0	19	14	18	16	12	22	3	9	29	1	0	2	10	5	8
New.ReferenceOTU40822	0	0	13	11	4	18	5	6	4	8	5	3	2	0	11	14	7	5	31	24
703741	33	5	54	11	10	0	0	1	34	3	1	3	4	1	2	1	0	1	0	5
4369121	11	2	4	0	1	2	9	14	6	3	0	2	0	1	1	0	0	1	16	96
New.ReferenceOTU13127	0	0	0	36	0	25	10	24	7	11	8	2	1	3	8	14	0	0	11	9
New.ReferenceOTU10253	1	4	2	4	0	3	6	6	8	0	7	16	21	7	7	5	20	44	5	3
264416	0	2	0	0	0	0	0	0	2	0	1	0	5	2	6	0	118	14	0	18
3926677	38	49	12	5	1	1	2	2	2	0	3	3	6	2	31	3	5	0	0	3
439462	0	1	0	11	2	4	2	2	2	22	2	1	4	0	2	3	36	6	63	3
New.ReferenceOTU3617	1	0	2	5	2	2	1	5	1	2	1	2	14	102	2	9	1	13	1	0
New.ReferenceOTU44887	0	0	2	6	5	15	9	11	2	8	4	3	0	2	17	54	2	3	8	15
4392826	0	0	4	23	26	21	19	12	7	16	12	0	1	6	0	0	1	1	7	10
4436552	30	3	5	16	2	5	7	8	17	3	5	21	26	0	1	7	1	0	0	8
New.ReferenceOTU35633	0	0	0	33	1	8	3	10	1	22	8	1	0	0	20	47	4	0	4	3
New.ReferenceOTU2097	0	0	0	0	0	11	24	11	13	14	14	33	19	9	3	4	1	1	4	4
New.ReferenceOTU3860	0	0	0	7	1	18	5	5	1	2	8	1	0	2	10	63	0	6	11	24
589088	0	0	0	11	0	23	11	28	4	32	25	0	0	0	0	12	0	1	5	12
New.ReferenceOTU4755	1	1	6	6	1	2	12	5	20	12	3	0	5	8	8	13	44	10	3	3
163897	9	3	34	4	15	8	0	3	7	3	12	1	1	6	14	1	4	2	20	16
303326	66	1	46	2	37	0	1	0	0	0	0	0	0	0	3	4	0	0	2	1
New.ReferenceOTU24095	16	4	32	16	13	4	2	3	1	0	4	1	0	2	31	6	16	4	6	2
New.ReferenceOTU54591	0	0	0	4	0	10	6	3	0	55	1	6	0	1	1	31	5	4	18	17
New.ReferenceOTU34698	0	0	0	7	0	18	22	38	11	46	14	0	0	1	0	5	0	0	0	0
830978	0	0	0	10	1	16	18	32	14	43	18	3	0	0	0	1	0	0	1	5
New.ReferenceOTU40538	0	0	0	5	0	66	14	7	9	5	6	12	12	6	2	2	7	2	3	3
4381473	0	0	7	90	18	11	5	9	4	7	6	0	0	1	0	0	0	0	2	0
247695	5	2	3	0	0	0	9	0	50	2	2	2	3	0	3	8	48	13	2	7
New.ReferenceOTU58578	9	0	26	3	48	4	1	1	2	0	3	0	1	5	4	40	1	1	5	5
New.ReferenceOTU25436	0	0	0	2	0	10	38	24	33	4	12	0	0	0	9	0	0	4	22	1
New.ReferenceOTU58846	0	0	4	8	3	5	15	10	5	17	10	2	6	19	0	17	0	12	4	22
974797	2	55	3	8	0	5	2	8	11	3	2	17	12	0	2	0	13	5	5	4
513449	5	1	2	13	5	7	12	5	12	4	21	4	9	19	6	0	13	8	7	4
New.ReferenceOTU41615	28	5	46	5	30	2	0	0	1	2	1	0	0	1	24	2	1	1	6	2
New.ReferenceOTU48158	0	0	0	0	0	4	2	9	4	4	1	0	0	0	6	1	1	2	117	6
4472112	8	13	2	13	2	22	11	12	14	10	7	3	7	4	6	1	13	3	4	1
New.ReferenceOTU12969	0	0	1	5	1	5	3	0	0	0	7	2	63	35	2	8	11	8	3	2
3701020	0	0	0	24	0	20	18	53	11	14	5	7	1	0	0	0	0	1	1	0
New.ReferenceOTU24769	0	0	0	1	0	5	26	18	35	5	12	0	0	0	3	2	1	3	37	7
New.ReferenceOTU43379	47	1	34	1	48	0	2	1	0	0	1	0	0	0	5	12	0	0	0	1
189793	40	1	39	1	54	4	0	1	0	0	0	0	0	0	5	7	0	0	1	0
New.ReferenceOTU24043	0	0	0	13	0	18	31	21	10	37	15	1	1	2	1	1	0	1	1	0
New.ReferenceOTU53113	40	0	39	2	48	1	0	0	1	0	0	0	0	1	8	11	0	0	1	1
New.ReferenceOTU55539	0	0	0	10	0	12	10	27	7	41	21	0	3	4	6	4	0	1	3	3
809658	21	109	3	1	0	0	1	0	3	0	3	1	3	0	0	1	1	1	1	2
New.ReferenceOTU5270	12	7	44	2	25	1	0	3	0	1	3	0	1	2	37	1	1	2	6	3
822112	0	0	1	17	1	18	10	16	13	3	11	3	8	7	6	3	8	2	18	5
4456068	17	13	3	13	2	18	10	10	10	0	2	8	2	7	2	0	14	7	9	3
New.ReferenceOTU2961	0	0	0	2	1	18	15	14	20	6	15	21	15	6	2	2	2	2	5	4
717874	0	0	0	4	0	6	22	31	7	36	10	25	2	0	0	2	0	0	3	2
275810	1	1	1	6	1	24	5	6	19	0	19	2	8	12	9	1	20	8	2	4
241971	1	2	1	0	0	0	3	0	2	0	0	30	11	5	5	0	4	19	6	60
New.ReferenceOTU550	0	0	0	5	0	5	1	4	1	2	0	0	2	1	18	12	2	2	91	2
New.ReferenceOTU33022	0	0	0	13	0	23	29	14	11	14	6	18	6	4	4	2	0	2	2	0
New.ReferenceOTU53812	0	0	0	0	0	12	33	26	17	5	14	8	4	1	0	0	1	1	21	4
546972	9	0	4	1	6	0	1	1	3	5	1	0	2	1	0	5	5	3	12	87
New.ReferenceOTU54353	23	3	16	1	51	1	1	0	3	0	1	1	0	1	30	5	0	2	3	4
New.ReferenceOTU49779	0	0	0	0	7	2	5	1	0	1	0	0	1	5	9	69	17	22	5	2
New.ReferenceOTU13650	0	0	2	20	1	7	1	7	3	1	1	0	0	1	26	8	6	3	39	19
4413869	0	5	12	10	5	27	10	12	3	17	3	0	2	0	0	14	2	2	10	11
706656	1	18	8	6	4	5	3	0	2	0	3	2	1	6	6	7	33	9	15	16
New.ReferenceOTU34350	0	0	0	9	0	29	9	12	3	17	14	4	10	3	6	10	6	3	9	1
314752	0	4	1	15	0	9	7	28	12	22	9	2	7	2	0	2	19	4	0	1
1141745	1	3	1	1	0	2	0	0	50	0	9	0	1	3	5	0	7	3	20	38
4422568	3	0	9	2	25	2	2	6	5	3	6	0	1	18	6	21	7	7	3	18
668499	25	16	11	14	4	2	0	2	10	8	3	7	30	3	0	0	0	1	4	4
744207	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	4	21	95	0	21
211947	37	1	31	9	40	1	0	0	2	0	0	0	1	1	8	9	0	1	1	1
New.ReferenceOTU3188	0	0	1	2	6	3	1	0	3	1	2	0	40	62	0	2	2	10	5	3
1898675	1	25	0	6	3	7	4	6	13	1	12	7	4	9	5	1	10	14	10	4
4448576	1	0	0	69	0	10	6	22	16	4	9	0	0	0	2	1	0	0	0	1
New.ReferenceOTU8058	1	0	1	7	0	11	8	12	6	4	7	5	1	3	4	6	25	18	12	10
New.ReferenceOTU47828	0	0	0	25	0	20	15	26	21	26	7	0	0	0	0	0	0	0	0	0
New.ReferenceOTU19351	0	0	0	11	1	7	6	5	2	16	7	0	0	0	25	44	2	1	5	8
New.ReferenceOTU36158	4	4	11	3	3	0	4	1	11	9	9	2	0	8	24	1	18	8	16	4
1078167	1	71	5	9	1	1	0	1	1	0	2	7	10	1	0	2	1	1	13	13
1980966	0	2	0	0	0	0	1	1	8	1	2	0	0	0	1	11	4	15	12	82
96894	1	0	11	4	5	2	4	4	2	1	4	0	2	5	1	69	2	18	0	4
4299771	6	45	4	4	4	4	3	0	2	0	2	10	16	0	7	2	12	9	5	3
37583	2	1	3	13	2	18	12	11	11	11	12	3	9	5	5	1	4	0	7	7
2194877	0	2	0	11	0	22	10	17	21	12	8	11	3	2	5	1	1	1	6	4
207627	0	74	6	0	0	2	0	0	1	0	1	7	17	1	3	5	13	5	0	2
4475864	1	2	2	22	8	10	9	7	6	3	12	10	9	9	0	1	7	1	5	12
4408387	0	2	0	1	2	1	0	0	25	1	1	0	3	14	1	0	5	7	36	36
555423	2	14	4	10	1	1	5	0	19	3	19	2	43	2	0	0	0	0	2	8
4305672	2	0	1	4	0	37	12	7	7	6	4	2	0	7	13	3	1	4	7	18
New.ReferenceOTU49470	0	0	0	0	1	5	6	1	1	2	6	2	49	21	1	1	13	13	8	5
New.ReferenceOTU48909	0	0	1	4	1	10	12	16	1	17	6	4	2	13	0	23	0	7	2	16
1141722	0	2	4	3	1	0	2	2	0	3	4	0	0	1	3	4	2	0	90	11
329883	0	0	0	25	0	13	9	45	10	8	8	9	1	0	0	3	0	0	0	1
4090187	1	6	1	3	1	8	6	2	9	0	7	19	31	15	10	0	3	5	4	1
New.ReferenceOTU48171	0	0	0	4	0	7	21	38	3	37	11	3	0	1	0	7	0	0	0	0
2371693	4	2	9	14	5	7	5	4	10	3	8	3	13	9	6	0	4	5	3	17
955582	2	47	15	15	17	0	3	0	1	4	2	3	0	1	5	0	0	0	6	9
New.ReferenceOTU1439	15	4	20	8	24	12	2	7	8	1	2	1	2	1	14	2	2	1	2	2
231578	0	0	0	20	0	9	4	8	3	15	2	2	1	1	11	19	1	0	31	3
New.ReferenceOTU28066	0	0	0	7	0	38	20	8	5	9	12	4	6	2	0	6	5	2	4	2
New.ReferenceOTU10841	0	0	0	7	1	0	16	6	2	0	2	0	0	0	29	37	26	3	1	0
New.ReferenceOTU16688	0	0	0	1	0	5	4	4	5	3	5	6	34	50	0	4	1	4	4	0
4338742	28	8	5	10	1	1	7	0	9	1	0	4	30	8	0	4	0	4	5	4
846104	0	1	0	3	2	9	7	2	11	1	14	5	11	11	10	2	24	9	6	1
224042	0	1	1	10	0	11	5	15	10	5	8	2	3	3	13	2	13	5	21	1
4361528	3	2	7	0	2	1	0	1	3	23	0	0	3	16	4	23	30	2	3	6
New.ReferenceOTU43526	4	3	7	5	1	5	7	3	7	2	4	6	11	8	17	2	9	10	13	5
New.ReferenceOTU56007	22	22	32	5	10	1	1	0	3	0	0	1	1	0	21	3	5	2	0	0
New.ReferenceOTU21854	0	0	2	5	0	11	6	7	2	4	6	9	23	40	0	7	1	1	3	1
533886	14	30	13	5	18	4	1	4	6	2	1	3	2	0	8	2	7	1	2	4
115161	0	2	0	2	1	6	7	5	23	5	4	13	6	8	23	3	5	5	7	2
814951	0	0	0	1	0	0	0	0	97	1	1	0	13	4	0	0	5	0	1	4
3116296	3	1	20	10	43	2	3	7	6	2	6	2	1	4	2	2	3	1	5	4
New.ReferenceOTU40531	0	0	0	7	1	14	16	9	11	2	10	30	9	5	0	5	2	3	2	1
New.ReferenceOTU9888	10	5	8	7	21	6	5	2	7	0	4	2	2	3	22	11	1	2	6	2
332835	1	1	4	9	6	4	3	1	19	1	2	4	25	2	7	3	8	18	2	6
New.ReferenceOTU9410	0	0	0	13	0	15	16	31	14	27	7	2	0	0	0	1	0	0	0	0
New.ReferenceOTU18699	21	2	16	2	37	1	0	0	2	1	0	0	0	6	14	4	1	2	7	9
New.ReferenceOTU41754	0	0	0	5	0	19	20	25	8	34	8	1	0	0	0	4	0	0	1	0
270517	1	0	2	4	3	5	6	6	4	13	13	2	7	7	0	12	1	4	2	33
319139	0	0	3	8	3	5	4	10	5	15	9	4	11	0	11	3	1	3	14	16
4468812	4	46	2	8	2	11	2	2	5	0	3	4	7	1	13	0	5	0	3	6
1139607	15	2	14	15	3	1	1	1	18	1	5	6	15	3	1	5	1	9	4	4
New.ReferenceOTU17890	22	2	34	4	45	1	0	0	1	0	0	1	0	0	7	6	0	0	0	1
4466827	1	0	0	0	0	0	0	0	0	0	1	1	0	9	20	11	1	4	26	50
843383	0	0	1	35	1	9	7	14	9	11	5	0	0	0	12	10	0	0	2	7
332326	1	0	0	3	0	9	10	4	6	2	8	10	17	11	4	1	18	17	2	0
New.ReferenceOTU28174	0	0	0	21	0	14	23	8	7	1	9	1	0	0	27	2	0	0	5	5
143663	3	1	13	14	2	15	12	9	3	7	3	0	3	1	5	8	1	5	4	13
New.ReferenceOTU10202	19	13	17	3	16	7	2	9	3	2	2	5	0	1	16	0	2	0	4	1
2194878	0	0	3	0	4	1	2	0	0	3	1	0	0	16	0	5	4	3	31	49
59851	3	5	56	2	33	2	0	2	1	1	2	0	1	3	0	3	0	3	0	5
775954	0	0	0	3	0	6	9	2	1	8	7	0	0	0	4	2	0	2	66	11
New.ReferenceOTU24831	2	0	0	0	0	0	1	0	0	1	1	0	3	12	0	0	0	18	23	60
New.ReferenceOTU25610	0	0	0	2	0	13	17	20	4	15	13	16	5	2	3	2	1	1	4	2
New.ReferenceOTU42897	0	0	0	9	1	3	3	5	2	1	1	0	0	3	2	4	4	1	13	68
New.ReferenceOTU52318	0	0	1	7	0	42	13	6	9	4	16	1	5	4	1	1	8	1	1	0
New.ReferenceOTU6873	16	0	55	2	37	0	0	0	1	0	0	0	0	0	7	0	0	0	0	1
New.ReferenceOTU22286	8	0	61	1	23	1	0	1	0	1	0	0	1	1	1	14	0	2	1	3
230687	0	0	0	0	0	2	5	3	2	4	4	51	4	7	1	2	1	0	10	23
New.ReferenceOTU52017	0	0	0	11	0	7	3	10	3	17	6	11	4	1	22	16	0	1	6	0
333489	1	0	0	13	0	8	8	24	14	19	15	1	2	3	2	1	2	1	2	2
706881	0	0	0	1	0	3	1	0	3	17	2	1	0	12	8	16	13	9	27	5
New.ReferenceOTU34046	0	0	0	13	0	37	15	18	2	1	6	2	7	2	0	2	6	2	2	3
4253236	0	0	1	5	1	0	0	4	0	3	2	4	1	0	15	32	1	2	40	6
New.ReferenceOTU55478	3	1	6	13	1	4	6	8	3	8	7	8	7	2	6	9	7	9	8	0
New.ReferenceOTU1071	0	0	0	0	2	0	3	5	13	8	13	0	2	7	1	1	6	3	21	31
1100972	10	0	0	1	0	0	0	1	1	3	0	2	56	12	0	1	12	3	0	14
New.ReferenceOTU2781	10	0	24	1	49	0	0	0	2	3	0	0	0	0	16	6	0	1	0	4
303963	36	0	26	2	37	0	0	0	1	0	0	0	0	0	9	1	0	0	2	2
4318690	4	1	1	5	0	13	13	6	12	2	3	11	8	2	9	4	5	3	7	7
New.ReferenceOTU38061	0	0	0	0	1	4	6	9	2	12	3	61	3	1	1	13	0	0	0	0
New.ReferenceOTU13362	0	0	12	2	2	1	0	0	0	0	0	0	19	49	0	14	0	6	0	11
236694	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	53	58
New.ReferenceOTU57460	0	0	0	11	0	5	3	14	7	26	16	3	3	1	12	7	0	1	3	3
New.ReferenceOTU24561	0	0	0	1	0	13	8	10	4	13	26	11	8	11	0	2	3	1	3	1
New.ReferenceOTU27292	0	0	0	1	0	2	8	11	1	11	3	69	4	2	0	1	0	0	0	1
813906	3	0	5	15	1	8	7	13	4	0	21	3	6	4	4	2	4	0	3	10
580578	3	7	0	5	1	16	11	11	9	1	14	8	4	1	7	2	4	2	5	2
New.ReferenceOTU40717	14	1	13	2	34	0	1	0	0	0	0	0	0	5	9	13	2	6	7	6
New.ReferenceOTU20335	0	40	0	2	0	1	0	0	0	0	2	2	5	1	0	5	32	10	0	13
New.ReferenceOTU40011	0	0	1	11	1	18	6	15	3	9	10	1	6	8	1	10	0	2	2	9
New.ReferenceOTU1191	0	2	0	4	1	5	4	8	10	2	3	8	11	10	12	5	12	11	2	2
New.ReferenceOTU5353	0	0	0	22	0	12	10	7	4	8	12	10	10	8	0	4	3	1	1	0
750840	6	3	4	4	6	8	1	1	24	1	9	3	3	0	21	4	4	3	2	4
791738	8	12	2	4	0	12	5	5	14	2	2	10	10	2	1	0	11	9	2	0
New.ReferenceOTU33037	0	0	7	0	6	2	4	1	0	1	4	0	1	7	6	23	0	6	21	22
New.ReferenceOTU51939	24	3	11	1	46	4	0	0	1	0	0	0	0	0	15	3	0	1	2	0
813109	0	0	0	1	0	5	2	9	5	1	2	25	11	32	1	0	1	3	12	1
New.ReferenceOTU19389	0	0	0	23	0	7	26	32	2	15	1	1	0	1	0	2	0	1	0	0
New.ReferenceOTU31839	0	0	0	0	0	0	1	1	1	0	0	0	0	0	18	38	31	18	3	0
584193	0	0	0	11	1	2	10	1	2	1	0	0	0	0	10	60	0	2	9	2
